OBJECTID,Join_Count,TARGET_FID,PARCELID,SITEADDRES,OWNERNME1,AGENCY,TOT_APPR,LOWPARCELID,BUILDING,UNIT,STATEDAREA,LGLSTARTDT,CVTTXCD,CVTTXDSCRP,SCHLTXCD,SCHLDSCRP,USECD,USEDSCRP,NGHBRHDCD,CLASSDSCRP,CLASSCD,LIVUNITS,SITEADDRESS,SITECITY,SITESTATE,SITEZIP,PRPRTYDSCRP,CNVYNAME,OWNERNME2,PSTLADDRESS,PSTLADDRESS2,PSTLCITY,PSTLSTATE,PSTLZIP5,PSTLZIP4,FLOORCOUNT,BLDGAREA,RESFLRAREA,RESYRBLT,RESSTRTYP,STRCLASS,CLASSMOD,LNDVALUE,IMPR_APPR,LANDASSESS,IMPRASSESS,LANDAPPR,PRVASSDVAL,CNTASSDVAL,ASSDVALYRCG,ASSDPCNTCG,PRVTXBLVAL,CNTTXBLVAL,TXBLVALYRCHG,TXBLPCNTCHG,PRVWNTTXOD,PRVSMRTXOD,TOTPRVTXTOD,CNTWNTTXOD,CNTSMRTXOD,TOTCNTTXOD,TXODYRCHG,TXODPCNTCHG,WATERSERV,SEWERSERV,LASTUPDATE,EXT_MIN_X,EXT_MIN_Y,EXT_MAX_X,EXT_MAX_Y,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,ORDNAME,ORDLINK,ORDSTATUS,LOWPARCELI,SUBAGENCY,Censustrac,BLKGROUP,BLOCK,NSA,NEIGHBORHO,NPU,COUNCILDIS,OTHERID,STATUS,POTENTIAL_,COMMITTEDT,COMMENTS,Zoningcate,ZONING,ZONINGOVER,INCLUSIONA,ACRES,FLD_ZONE,NOFLD_PERC,NOFLD_AREA,Brownfield,Brownfie_1,Slope_C5_A,Slope_C5_P,ELEM_TOTFR,Park_Dist,Close_Park,Is_Atl_Par,Train_Dist,STATION,Bus_Dist,stop_name,LILATracts,TAD_desc,CID_NAME,GrowthType,CDBGZONEDE,Urb_Displ_,Tree_Can,OppZone_Fe,OppZone_St,OppZ_State,TAX_LIEN_V,HH_Med_Est,HIST_DSTRC,HIST_SITEN,HIST_SITE_,Shape__Are,Shape__Len,PARCELID_A,Viable_Spo,LANDUSECOD,LANDUSEDES,Intersect_,Prop,Vacancy_Fl,Fulton_LUC,Fulton_LU,ClassCode,APSExcess,Active_Park,Active_APS,Greenway,ZONING_CLASSIFICATION,PERCENTAGE,CONCAT,ZONINGCODE,Shape__Area,Shape__Length
11,3,11,17 0058  LL0857,0 S A L RR,CITY OF ATLANTA,City of Atlanta,131200,17 0058  LL085, , ,,,,,,,,Fulton,,,,0,0 S A L RR,ATLANTA,GA,30324,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,131200,0,52480,0,131200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG-2,100,RG-2 = 100.0%,Single Family Residential,2351.53515625,354.390029307317
12,13,12,17 005900010730,0 EAST WESLEY RD NE,CITY OF ATLANTA,City of Atlanta,1545600,17 00590001073, , ,,,,,,,,Fulton,,,,0,0 EAST WESLEY RD NE,ATLANTA,GA,30305,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,1545600,0,618240,0,1545600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-4,100,R-4 = 100.0%,Single Family Residential,64122.109375,1310.49170689021
13,1,13,17 006000050683,320 PINETREE DR NE,CITY OF ATLANTA,City of Atlanta,11803600,17 00600005068, , ,,,,,,,,Fulton,,,,0,320 PINETREE DR NE,ATLANTA,GA,30305,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,11773800,29800,4709520,11920,11773800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-4,100,R-4 = 100.0%,Single Family Residential,14760.73046875,495.409838374129
14,20,14,17 009900030201,0 ROSWELL RD NE,CITY OF ATLANTA,City of Atlanta,1575000,17 00990003020, , ,,,,,,,,Fulton,,,,0,0 ROSWELL RD NE,ATLANTA,GA,30305,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,1575000,0,630000,0,1575000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPI-9 SA3,81,"SPI-9 SA2 = 19.0%,SPI-9 SA3 = 81.0%",Special Public Interest,4187.51953125,313.72191594471
15,2,15,17 0102  LL0267,0 KINSEY CT NE,CITY OF ATLANTA,City of Atlanta,671500,17 0102  LL026, , ,,,,,,,,Fulton,,,,0,0 KINSEY CT NE,ATLANTA,GA,30324,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,671500,0,268600,0,671500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-4,100,R-4 = 100.0%,Single Family Residential,11382.55078125,556.879434257038
16,2,16,17 009900030193,3201 ROSWELL RD NE,CITY OF ATLANTA,City of Atlanta,1684000,17 00990003019, , ,,,,,,,,Fulton,,,,0,3201 ROSWELL RD NE,ATLANTA,GA,30305,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,814500,869500,325800,347800,814500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPI-9 SA2,100,SPI-9 SA2 = 100.0%,Special Public Interest,2130.38671875,268.70162394581
17,2,17,17 009900030094,0 ROSWELL RD NE,CITY OF ATLANTA,City of Atlanta,630000,17 00990003009, , ,,,,,,,,Fulton,,,,0,0 ROSWELL RD NE,ATLANTA,GA,30305,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,630000,0,252000,0,630000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPI-9 SA2,100,SPI-9 SA2 = 100.0%,Special Public Interest,2083.73046875,263.436552607231
18,1,18,17 009900040317,0 PEACHTREE RD NE,CITY OF ATLANTA,City of Atlanta,1126400,17 00990004031, , ,,,,,,,,Fulton,,,,0,0 PEACHTREE RD NE,ATLANTA,GA,30305,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,1126400,0,450560,0,1126400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPI-9 SA1,100,SPI-9 SA1 = 100.0%,Special Public Interest,3087.234375,266.888735927002
19,4,19,17 011300060085,0 HABERSHAM RD NW,CITY OF ATLANTA,City of Atlanta,563100,17 01130006008, , ,,,,,,,,Fulton,,,,0,0 HABERSHAM RD NW,ATLANTA,GA,30305,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,563100,0,225240,0,563100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-2A,100,R-2A = 100.0%,Single Family Residential,25173.453125,724.566497759736
20,59,20,17 011300070472,0 WEST WESLEY RD NW,CITY OF ATLANTA,City of Atlanta,274000,17 01130007047, , ,,,,,,,,Fulton,,,,0,0 WEST WESLEY RD NW,ATLANTA,GA,30305,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,274000,0,109600,0,274000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG-4,100,RG-4 = 100.0%,Single Family Residential,6625.68359375,384.65835412052
21,4,21,17 014500020735,2243 HAVENRIDGE DR NW,CITY OF ATLANTA,City of Atlanta,391600,17 01450002073, , ,,,,,,,,Fulton,,,,1,2243 HAVENRIDGE DR NW,ATLANTA,GA,30305,,,,68 MITCHELL ST SW,,ATLANTA,GA,30303,,,,,,,,,391600,0,156640,0,391600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-3,100,R-3 = 100.0%,Single Family Residential,2216.640625,219.655237623491
22,5,22,17 014500020610,2249 HAVENRIDGE DR NW,CITY OF ATLANTA,City of Atlanta,391600,17 01450002061, , ,,,,,,,,Fulton,,,,0,2249 HAVENRIDGE DR NW,ATLANTA,GA,30305,,,,68 MITCHELL ST,,ATLANTA,GA,30303,,,,,,,,,391600,0,156640,0,391600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-3,100,R-3 = 100.0%,Single Family Residential,2196.66796875,217.401812495913
23,3,23,17 0146  LL0026,0 SPRING VALLEY RD NW,CITY OF ATLANTA,City of Atlanta,754700,17 0146  LL002, , ,,,,,,,,Fulton,,,,0,0 SPRING VALLEY RD NW,ATLANTA,GA,30318,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,754700,0,301880,0,754700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-4,100,R-4 = 100.0%,Single Family Residential,10690.6640625,739.184621308991
24,1,24,17 0146  LL0042,0 SPRING VALLEY RD NW,CITY OF ATLANTA,City of Atlanta,94900,17 0146  LL004, , ,,,,,,,,Fulton,,,,0,0 SPRING VALLEY RD NW,ATLANTA,GA,30318,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,94900,0,37960,0,94900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-4,100,R-4 = 100.0%,Single Family Residential,9149.08203125,466.940235145938
25,3,25,17 014600020270,471 COLLIER RD NW,CITY OF ATLANTA,City of Atlanta,483500,17 01460002027, , ,,,,,,,,Fulton,,,,0,471 COLLIER RD NW,ATLANTA,GA,30318,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,483500,0,193400,0,483500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-4,100,R-4 = 100.0%,Single Family Residential,29893.31640625,767.280584975196
26,1,26,17 015300140888,0 SUNBURY PL NW,CITY OF ATLANTA,City of Atlanta,116500,17 01530014088, , ,,,,,,,,Fulton,,,,0,0 SUNBURY PL NW,ATLANTA,GA,30318,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,116500,0,46600,0,116500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-4,100,R-4 = 100.0%,Single Family Residential,3403.69140625,268.038102418398
27,3,27,17 015700010590,625 MOORES MILL RD NW,CITY OF ATLANTA,City of Atlanta,1737700,17 01570001059, , ,,,,,,,,Fulton,,,,0,625 MOORES MILL RD NW,ATLANTA,GA,30327,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,898600,839100,359440,335640,898600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-3,100,R-3 = 100.0%,Single Family Residential,21575.3671875,584.299048432709
28,5,28,17 014500020537,0 DELLWOOD DR NW # REAR,CITY OF ATLANTA,City of Atlanta,28000,17 01450002053,#,REAR,,,,,,,,Fulton,,,,0,0 DELLWOOD DR NW # REAR,ATLANTA,GA,30305,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,28000,0,11200,0,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-3,100,R-3 = 100.0%,Single Family Residential,1923.42578125,224.306584399943
29,1,29,17 015600040010,0 EDINBORO RD NW,CITY OF ATLANTA,City of Atlanta,379200,17 01560004001, , ,,,,,,,,Fulton,,,,0,0 EDINBORO RD NW,ATLANTA,GA,30327,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,372600,6600,149040,2640,372600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-3,100,R-3 = 100.0%,Single Family Residential,2426.203125,272.522610194727
30,2,30,17 014500020644,0 HAVENRIDGE DR NW,CITY OF ATLANTA,City of Atlanta,432700,17 01450002064, , ,,,,,,,,Fulton,,,,0,0 HAVENRIDGE DR NW,ATLANTA,GA,30305,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,432700,0,173080,0,432700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-3,100,R-3 = 100.0%,Single Family Residential,3190.5546875,354.70104128839
31,4,31,17 014600060102,0 ARDMORE RD NW,CITY OF ATLANTA,City of Atlanta,453000,17 01460006010, , ,,,,,,,,Fulton,,,,0,0 ARDMORE RD NW,ATLANTA,GA,30309,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,453000,0,181200,0,453000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-4,100,R-4 = 100.0%,Single Family Residential,9852.61328125,419.627110927564
32,2,32,17 014600070572,0 MEREDITH DR NW,CITY OF ATLANTA,City of Atlanta,475900,17 01460007057, , ,,,,,,,,Fulton,,,,0,0 MEREDITH DR NW,ATLANTA,GA,30318,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,475900,0,190360,0,475900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-4,100,R-4 = 100.0%,Single Family Residential,11652.27734375,471.229561612377
33,5,33,17 018500030115,0 BROOKVIEW DR NW,CITY OF ATLANTA,City of Atlanta,636000,17 01850003011, , ,,,,,,,,Fulton,,,,0,0 BROOKVIEW DR NW,ATLANTA,GA,30318,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,636000,0,254400,0,636000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-3A,100,R-3A = 100.0%,Single Family Residential,40996.0703125,973.312553726665
34,2,34,17 018200020440,2970 HOWELL MILL RD NW,CITY OF ATLANTA,City of Atlanta,552200,17 01820002044, , ,,,,,,,,Fulton,,,,0,2970 HOWELL MILL RD NW,ATLANTA,GA,30327,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,304700,247500,121880,99000,304700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-3,100,R-3 = 100.0%,Single Family Residential,4313.45703125,284.696892693492
35,2,35,17 019800010690,0 PINE MEADOW RD NW,CITY OF ATLANTA,City of Atlanta,245700,17 01980001069, , ,,,,,,,,Fulton,,,,0,0 PINE MEADOW RD NW,ATLANTA,GA,30327,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,245700,0,98280,0,245700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-3,100,R-3 = 100.0%,Single Family Residential,1847.87109375,181.021236017348
36,2,36,17 000900040142,3492 ROXBORO RD NE,CITY OF ATLANTA,City of Atlanta,118200,17 00090004014, , ,,,,,,,,Fulton,,,,1,3492 ROXBORO RD NE,ATLANTA,GA,30326,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,118200,0,47280,0,118200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPI-12 SA2,100,SPI-12 SA2 = 100.0%,Special Public Interest,2885.15234375,233.812300510786
37,2,37,17 005800010061,308 PEACHTREE HILLS AVE NE,CITY OF ATLANTA,City of Atlanta,1404400,17 00580001006, , ,,,,,,,,Fulton,,,,0,308 PEACHTREE HILLS AVE NE,ATLANTA,GA,30305,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,1164900,239500,465960,95800,1164900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG-2,100,"RG-2 = 100.0%,RG-3-C = 0.0%",Single Family Residential,44054.77734375,863.353700269968
