Address,ZoningCode,Latitude,Longitude,MaxSolarPanels,MaxSolarAreaM2,SunshineHoursPerYear,InstallationCost,AnnualEnergyProductionKWh,AnnualSavings,PaybackPeriodYears
0 MOUNT PARAN RD NW,Single Family Residential,33.8943924,-84.3872087,145,284.71545,1547.0208,43500,18107.6,2353.988,18.47927856896467
0 LAKE FORREST DR NW REAR,Single Family Residential,33.8838652,-84.3872691,213,418.23718,1530.4572,63900,26599.44,3457.9272,18.479278568964666
4260 NORTHSIDE DR NW,Single Family Residential,33.8710211,-84.4085475,102,200.2826,1286.3114,30600,12737.76,1655.9088000000002,18.479278568964666
0 RICKENBACKER WAY NE,Single Family Residential,33.8709946,-84.3774793,46,90.323524,1177.923,13800,5744.48,746.7823999999999,18.47927856896467
0 EMMA LN NE,Single Family Residential,33.86387,-84.37574950000001,225,441.79984,1492.1816,67500,28098,3652.7400000000002,18.479278568964666
370 OLD IVY RD NE,Single Family Residential,33.8579967,-84.37411209999999,66,129.59462,1036.8445,19800,8242.08,1071.4704,18.47927856896467
0 RICKENBACKER WAY NE,Single Family Residential,33.8709946,-84.3774793,46,90.323524,1177.923,13800,5744.48,746.7823999999999,18.47927856896467
0 RICKENBACKER WAY NE,Single Family Residential,33.8709946,-84.3774793,46,90.323524,1177.923,13800,5744.48,746.7823999999999,18.47927856896467
0 STOVALL BLV NE,Single Family Residential,33.8617714,-84.3581802,45,88.35997,1173.3691,13500,5619.6,730.5480000000001,18.479278568964666
4012 PEACHTREE DUNWOODY RD,Single Family Residential,33.8644009,-84.3590588,105,206.17326,1099.8165,31500,13112.4,1704.612,18.479278568964666
3994 PEACHTREE DUNWOODY RD,Single Family Residential,33.864213,-84.358728,17,33.380432,1418.6833,5100,2122.96,275.9848,18.479278568964666
0 WEST BROOKHAVEN DR,Single Family Residential,33.8622506,-84.3485548,112,219.91815,1522.983,33600,13986.56,1818.2528,18.479278568964666
3984 PEACHTREE DUNWOODY RD,Single Family Residential,33.86384779999999,-84.3583228,17,33.380432,1418.6833,5100,2122.96,275.9848,18.479278568964666
1575 LORING DR NW,Single Family Residential,33.7976144,-84.39609209999999,580,1138.8618,1545.9064,174000,72430.4,9415.952,18.47927856896467
1583 LORING DR NW,Single Family Residential,33.798223,-84.39629459999999,72,141.37595,1463.5952,21600,8991.36,1168.8768,18.479278568964666
0 LORING DR NW,Single Family Residential,33.7981439,-84.397106,64,125.66751,1204.3856,19200,7992.32,1039.0016,18.479278568964666
0 LORING DR NW,Single Family Residential,33.7981439,-84.397106,64,125.66751,1204.3856,19200,7992.32,1039.0016,18.479278568964666
1567 LORING DR NW,Single Family Residential,33.797779,-84.3964699,580,1138.8618,1545.9064,174000,72430.4,9415.952,18.47927856896467
0 WOODS ST NW,Single Family Residential,35.4003078,-80.6362765,43,84.43286,1476.5076,12900,5369.84,698.0792,18.479278568964666
1015 TUMLIN ST NW,Single Family Residential,33.7825081,-84.4002714,474,930.725,1624.4779,142200,59193.12,7695.105600000001,18.479278568964666
0 HARPER ST NW,Single Family Residential,51.0948315,-114.0754495,60,117.81329,1226.9703,18000,7492.8,974.0640000000001,18.479278568964666
1270 WEST MARIETTA ST NW,Multi-Family Residential,33.784721,-84.42939899999999,11,21.599104,1427.0297,3300,1373.68,178.57840000000002,18.479278568964666
0 BOHLER RD NW,Single Family Residential,33.8215681,-84.4292879,102,200.2826,1601.9763,30600,12737.76,1655.9088000000002,18.479278568964666
1000 MANTISSA ST NW,Single Family Residential,33.8070311,-84.4207984,78,153.15727,1292.4757,23400,9740.64,1266.2832,18.479278568964666
0 COLLINS DR NW,Single Family Residential,33.8141106,-84.465331,63,123.70396,1574.2467,18900,7867.44,1022.7672,18.479278568964666
0 ABNER PL NW,Single Family Residential,33.8019959,-84.4627608,44,86.396416,1264.817,13200,5494.72,714.3136000000001,18.479278568964666
0 ARNO CT NW,Single Family Residential,33.7994332,-84.4660741,15,29.453323,1526.0508,4500,1873.2,243.51600000000002,18.479278568964666
0 PERRY BLVD NW,Single Family Residential,33.797706,-84.4527899,52,102.10485,1646.981,15600,6493.76,844.1888,18.479278568964666
0 MACK DR NW,Single Family Residential,33.7904618,-84.4601751,40,78.54219,1440.9268,12000,4995.2,649.376,18.47927856896467
0 MACK DR NW,Single Family Residential,33.7904618,-84.4601751,40,78.54219,1440.9268,12000,4995.2,649.376,18.47927856896467
0 SAINT PETERS AVE NW,Single Family Residential,33.7840439,-84.4738697,4,7.8542194,930.8791,1200,499.52,64.9376,18.479278568964666
0 LOIS PL NW,Single Family Residential,33.7844234,-84.4533467,4,7.8542194,1551.6838,1200,499.52,64.9376,18.479278568964666
0 HOWELL MILL RD NW,Multi-Family Residential,33.8140886,-84.4150336,65,127.631065,1144.54,19500,8117.2,1055.236,18.479278568964666
2566 CHATTAHOOCHEE CIR NW,Single Family Residential,33.827213,-84.45229499999999,50,98.17774,1605.9631,15000,6244,811.72,18.479278568964666
2588 ETHERIDGE DR NW,Single Family Residential,33.7869928,-84.4726774,784,1539.427,1513.3729,235200,97905.92,12727.7696,18.47927856896467
1148 LOTUS AVE NW,Single Family Residential,33.7866349,-84.4644579,25,49.08887,1372.7828,7500,3122,405.86,18.479278568964666
0 MORRIS ST NW,Single Family Residential,33.7961411,-84.4168982,45,88.35997,1557.6704,13500,5619.6,730.5480000000001,18.479278568964666
1685 CHATTAHOOCHEE AVE NW,Multi-Family Residential,33.8139168,-84.4428669,26,51.052425,1686.8247,7800,3246.88,422.0944,18.479278568964666
2140 ALVIN DR NW,Single Family Residential,33.789059,-84.454084,87,170.82927,1614.1224,26100,10864.56,1412.3928,18.479278568964666
0 WOODS ST NW,Single Family Residential,35.4003078,-80.6362765,43,84.43286,1476.5076,12900,5369.84,698.0792,18.479278568964666
0 RIDGEWOOD RD NW,Single Family Residential,33.8389384,-84.4470101,83,162.97505,1206.3438,24900,10365.04,1347.4552,18.479278568964666
0 MARCO DR NW # REAR,Single Family Residential,33.7988659,-84.4778723,41,80.50575,1383.4642,12300,5120.08,665.6104,18.479278568964666
1752 HOLLYWOOD RD NW,Single Family Residential,33.8034017,-84.471064,1336,2623.3093,1553.9158,400800,166839.68,21689.1584,18.479278568964666
0 COLLINS DR NW,Single Family Residential,33.8141106,-84.465331,63,123.70396,1574.2467,18900,7867.44,1022.7672,18.479278568964666
0 ABNER PL NW REAR,Single Family Residential,43.689256,-79.558513,45,88.35997,1421.517,13500,5619.6,730.5480000000001,18.479278568964666
0 ABNER PL NW,Single Family Residential,33.8019959,-84.4627608,44,86.396416,1264.817,13200,5494.72,714.3136000000001,18.479278568964666
0 ALVIN DR NW,Single Family Residential,33.7888297,-84.4610216,8,15.708439,1386.9069,2400,999.04,129.8752,18.479278568964666
0 SAINT PETERS AVE NW,Single Family Residential,33.7840439,-84.4738697,4,7.8542194,930.8791,1200,499.52,64.9376,18.479278568964666
0 HOLLYWOOD RD NW,Single Family Residential,33.7909708,-84.4670934,304,596.92065,1391.6044,91200,37963.52,4935.2576,18.479278568964666
0 SAINT PAUL AVE NW,Single Family Residential,33.7897923,-84.4680139,65,127.631065,1349.9623,19500,8117.2,1055.236,18.479278568964666
1154 JACKSON PKWY NW,Single Family Residential,33.78762440000001,-84.47782230000001,241,473.21674,1346.1624,72300,30096.08,3912.4904,18.479278568964666
1194 CHURCH ST NW,Single Family Residential,38.9102342,-77.03241799999999,235,461.4354,1499.246,70500,29346.8,3815.084,18.47927856896467
0 MACK DR NW,Single Family Residential,33.7904618,-84.4601751,40,78.54219,1440.9268,12000,4995.2,649.376,18.47927856896467
2181 MACK DR NW,Single Family Residential,33.790891,-84.45894799999999,2,3.9271097,1111.9706,600,249.76,32.4688,18.479278568964666
0 RIDGE VALLEY CT NW # R,Single Family Residential,33.832117,-84.4430387,90,176.71994,1147.4915,27000,11239.2,1461.0960000000002,18.479278568964666
0 JAMES JACKSON PKWY,Single Family Residential,33.7969295,-84.4748945,260,510.52426,1526.0747,78000,32468.8,4220.944,18.479278568964666
0 DEFOORS FERRY RD NW,Single Family Residential,33.8203339,-84.4360029,20,39.271095,1454.7595,6000,2497.6,324.688,18.47927856896467
0 RIDGEWOOD RD NW,Single Family Residential,33.8389384,-84.4470101,83,162.97505,1206.3438,24900,10365.04,1347.4552,18.479278568964666
0 NORTHWEST DR NW,Single Family Residential,33.7930544,-84.4814236,41,80.50575,1171.8291,12300,5120.08,665.6104,18.479278568964666
0 RIDGEMORE RD NW # REAR,Single Family Residential,33.8271689,-84.4454937,41,80.50575,1060.4606,12300,5120.08,665.6104,18.479278568964666
0 NORTH ST NW,Single Family Residential,38.9070782,-77.0104425,15,29.453323,1551.3434,4500,1873.2,243.51600000000002,18.479278568964666
0 JOHNSON RD NW,Single Family Residential,33.7796904,-84.4552553,70,137.44884,1598.4657,21000,8741.6,1136.4080000000001,18.479278568964666
0 PERRY BLVD NW,Single Family Residential,33.797706,-84.4527899,52,102.10485,1646.981,15600,6493.76,844.1888,18.479278568964666
2040 MAIN ST NW,Multi-Family Residential,33.8114656,-84.47225460000001,86,168.86572,1480.5282,25800,10739.68,1396.1584,18.479278568964666
1929 HOLLYWOOD RD NW,Multi-Family Residential,33.8085315,-84.471503,499,979.8139,1504.1316,149700,62315.12,8100.9656,18.479278568964666
0 RIDGEWOOD CIR NW,Single Family Residential,33.8321676,-84.4468922,101,198.31905,1145.4086,30300,12612.88,1639.6743999999999,18.47927856896467
0 ABNER PL NW,Single Family Residential,33.8019959,-84.4627608,44,86.396416,1264.817,13200,5494.72,714.3136000000001,18.479278568964666
0 PAUL AVE NW,Single Family Residential,33.818851,-84.46988,65,127.631065,1467.7385,19500,8117.2,1055.236,18.479278568964666
0 RIDGEWOOD RD NW # REAR,Single Family Residential,33.8389384,-84.4470101,83,162.97505,1206.3438,24900,10365.04,1347.4552,18.479278568964666
2975 WALES AVE NW,Single Family Residential,40.8279119,-81.50265519999999,66,129.59462,1201.1229,19800,8242.08,1071.4704,18.47927856896467
0 BOLTON RD NW,Single Family Residential,33.797655,-84.4890808,31,60.8702,1252.1256,9300,3871.28,503.26640000000003,18.479278568964666
0 ALVIN DR NW,Single Family Residential,33.7888297,-84.4610216,8,15.708439,1386.9069,2400,999.04,129.8752,18.479278568964666
0 HOLLYWOOD RD NW,Single Family Residential,33.7909708,-84.4670934,304,596.92065,1391.6044,91200,37963.52,4935.2576,18.479278568964666
0 MACK DR NW,Single Family Residential,33.7904618,-84.4601751,40,78.54219,1440.9268,12000,4995.2,649.376,18.47927856896467
0 MARY GEORGE AVE NW,Single Family Residential,33.801351,-84.4617565,23,45.161762,890.5719,6900,2872.24,373.39119999999997,18.47927856896467
950 EDGEWOOD AVE,Single Family Residential,33.7581446,-84.3574094,30,58.906647,1174.1693,9000,3746.4,487.03200000000004,18.479278568964666
0 MANIGAULT ST SE,Single Family Residential,33.7509846,-84.3537818,29,56.943092,1563.3074,8700,3621.52,470.7976,18.479278568964666
0 WYLIE ST SE # REAR,Single Family Residential,33.752481,-84.3542218,35,68.72442,1543.928,10500,4370.8,568.2040000000001,18.479278568964666
0 WEATHERBY ST SE,Single Family Residential,33.753053,-84.3534871,59,115.84974,1448.7263,17700,7367.92,957.8296,18.479278568964666
0 JAMES JACKSON PKWY,Single Family Residential,33.7969295,-84.4748945,260,510.52426,1526.0747,78000,32468.8,4220.944,18.479278568964666
326 MORELAND AVE NE,Single Family Residential,33.7632589,-84.3497912,128,251.33502,1673.6138,38400,15984.64,2078.0032,18.479278568964666
0 MORELAND AVE NE,Single Family Residential,33.7536319,-84.3496808,31,60.8702,1521.4268,9300,3871.28,503.26640000000003,18.479278568964666
286 ALASKA AVE NE,Single Family Residential,33.7620796,-84.3630238,74,145.30305,1504.1746,22200,9241.12,1201.3456,18.479278568964666
0 KENDALL ST NE,Single Family Residential,38.9128695,-76.9868741,22,43.198208,1591.0521,6600,2747.36,357.15680000000003,18.479278568964666
400 MERRITTS AVE NE,Single Family Residential,33.7685725,-84.3762967,75,147.26662,1462.2294,22500,9366,1217.5800000000002,18.479278568964666
0 EDGEWOOD AVE NE,Single Family Residential,35.4133782,-80.5844832,33,64.79731,1105.4058,9900,4121.04,535.7352,18.47927856896467
0 YONGE ST SE,Single Family Residential,43.9159008,-79.4482628,323,634.2282,1328.9467,96900,40336.24,5243.7112,18.47927856896467
0 EDGEWOOD AVE NE,Single Family Residential,35.4133782,-80.5844832,33,64.79731,1105.4058,9900,4121.04,535.7352,18.47927856896467
0 LINDEN AVE NE,Single Family Residential,33.7700008,-84.38701619999999,1439,2825.5554,1552.5123,431700,179702.32,23361.301600000003,18.479278568964666
0 LINDEN AVE NE,Single Family Residential,33.7700008,-84.38701619999999,1439,2825.5554,1552.5123,431700,179702.32,23361.301600000003,18.479278568964666
521 BOULEVARD NE,Single Family Residential,33.7686069,-84.37153719999999,84,164.93861,1597.5846,25200,10489.92,1363.6896000000002,18.479278568964666
536 BOULEVARD NE,Single Family Residential,33.7690461,-84.37223019999999,120,235.62659,1664.5055,36000,14985.6,1948.1280000000002,18.479278568964666
544 ANGIER AVE NE,Single Family Residential,33.7667366,-84.36945779999999,135,265.0799,1391.5306,40500,16858.8,2191.644,18.47927856896467
402 ANGIER AVE NE,Single Family Residential,33.7665377,-84.37414969999999,6,11.781329,1609.6989,1800,749.28,97.4064,18.479278568964666
0 PINE ST NE,Single Family Residential,33.7673456,-84.3874596,1242,2438.735,1593.2916,372600,155100.96,20163.1248,18.479278568964666
0 ANGIER AVE NE,Single Family Residential,33.7664453,-84.3704291,16,31.416878,1494.8906,4800,1998.08,259.7504,18.479278568964666
427 BOULEVARD NE,Single Family Residential,33.766196,-84.371653,131,257.22568,1677.8907,39300,16359.28,2126.7064,18.479278568964666
555 RALPH MCGILL BLVD NE,Multi-Family Residential,33.7637042,-84.36938579999999,157,308.2781,1572.6997,47100,19606.16,2548.8008,18.479278568964666
0 MITCHELL ST SW,Multi-Family Residential,33.749084,-84.3896592,338,663.6815,1653.7305,101400,42209.44,5487.2272,18.479278568964666
0 JOSEPH E BOONE BLVD NW,Single Family Residential,33.7635621,-84.4364869,18,35.343987,1364.8243,5400,2247.84,292.2192,18.479278568964666
0 LAWTON ST SW,Single Family Residential,33.7389513,-84.4233632,91,178.68349,1638.6786,27300,11364.08,1477.3304,18.479278568964666
1239 WEST FAIR ST SW,Single Family Residential,33.7495796,-84.4284495,37,72.65153,1417.4823,11100,4620.56,600.6728,18.479278568964666
0 ARCADIA CIR NW,Single Family Residential,33.757156,-84.428596,7,13.7448845,1007.2106,2100,874.16,113.6408,18.479278568964666
175 STAFFORD ST NW,Single Family Residential,33.7599369,-84.4249624,444,871.81836,1468.7104,133200,55446.72,7208.073600000001,18.479278568964666
0 ROCKMART DR NW,Single Family Residential,33.7549496,-84.4293953,7,13.7448845,1162.0603,2100,874.16,113.6408,18.479278568964666
0 STAFFORD ST NW,Single Family Residential,33.7551251,-84.4258392,25,49.08887,1081.3497,7500,3122,405.86,18.479278568964666
0 ROCKMART DR NW,Single Family Residential,33.7549496,-84.4293953,7,13.7448845,1162.0603,2100,874.16,113.6408,18.479278568964666
0 LENA ST NW,Single Family Residential,33.7566649,-84.4222872,55,107.995514,1523.7778,16500,6868.4,892.8919999999999,18.47927856896467
0 BURBANK DR NW,Single Family Residential,33.7547886,-84.42793209999999,45,88.35997,1481.712,13500,5619.6,730.5480000000001,18.479278568964666
549 WEST ANTHONY ST NW,Single Family Residential,32.6858378,-97.32981970000002,31,60.8702,1688.036,9300,3871.28,503.26640000000003,18.479278568964666
590 WEST ANTHONY ST NW,Single Family Residential,32.6863448,-97.330378,50,98.17774,1793.958,15000,6244,811.72,18.479278568964666
554 WEST ANTHONY ST NW,Single Family Residential,32.6863528,-97.3299102,31,60.8702,1688.036,9300,3871.28,503.26640000000003,18.479278568964666
565 WEST ANTHONY ST NW,Single Family Residential,32.6858342,-97.3300276,31,60.8702,1688.036,9300,3871.28,503.26640000000003,18.479278568964666
526 WEST ANTHONY ST NW,Single Family Residential,32.686359,-97.3295461,26,51.052425,1422.0537,7800,3246.88,422.0944,18.479278568964666
555 WEST ANTHONY ST NW,Single Family Residential,32.6858365,-97.3298976,31,60.8702,1688.036,9300,3871.28,503.26640000000003,18.479278568964666
542 WEST ANTHONY ST NW,Single Family Residential,32.6863554,-97.32975420000001,29,56.943092,1755.2644,8700,3621.52,470.7976,18.479278568964666
522 WEST ANTHONY ST NW,Single Family Residential,32.6863599,-97.32949420000001,26,51.052425,1422.0537,7800,3246.88,422.0944,18.479278568964666
1291 ANTHONY PL NW,Multi-Family Residential,35.1098772,-106.6647035,30,58.906647,2160.6511,9000,3746.4,487.03200000000004,18.479278568964666
530 WEST ANTHONY ST NW,Single Family Residential,32.6863581,-97.3295981,26,51.052425,1422.0537,7800,3246.88,422.0944,18.479278568964666
